ID,Frame Name,Cycle Time [ms],Launch Type,Launch Parameter,Signal Byte No.,Signal Bit No.,Signal Name,Signal Function,Signal Length [Bit],Signal Default, Signal Not Available,Byteorder,is signed,Charger,HVB,IVTMain,PC,VCU,Name / Phys. Range,Function / Increment Unit,Value,frame.,signal.
120h,INFO_01_DbgV,5,NoMsgSendType,0,1,0,BMS_eDbgVId,Mode Signal: Single cell ID.,16,0, ,m,u,,s,,r,,0..255,,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV000,Mode 0:Cell 0 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV003,Mode 1:Cell 3 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV006,Mode 2:Cell 6 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV009,Mode 3:Cell 9 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV012,Mode 4:Cell 12 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV015,Mode 5:Cell 15 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV018,Mode 6:Cell 18 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV021,Mode 7:Cell 21 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV024,Mode 8:Cell 24 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV027,Mode 9:Cell 27 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV030,Mode 10:Cell 30 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV033,Mode 11:Cell 33 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV036,Mode 12:Cell 36 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV039,Mode 13:Cell 39 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV042,Mode 14:Cell 42 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
120h,INFO_01_DbgV,5,NoMsgSendType,0,3,0,BMS_VDbgV045,Mode 15:Cell 45 voltage.,16,0.000, ,m,u,,s,,r,,0..4.95,0.001  V,,,
